pick_date,parlay_rank,bet_status,parlay_lock_rule,earliest_minutes_to_game,leg1_player,leg1_team,leg1_opponent,leg1_odds,leg1_probability,leg1_lineup_slot,leg1_projected_pa,leg2_player,leg2_team,leg2_opponent,leg2_odds,leg2_probability,leg2_lineup_slot,leg2_projected_pa,combined_decimal_odds,combined_american_odds,parlay_probability,parlay_ev_per_dollar,recommended_stake,expected_profit,confidence,parlay_score,selection_pool,correlation_note,why_sharpie_likes_it,sharpie_concern,actual_leg1_hit,actual_leg2_hit,actual_parlay_hit,profit
2026-05-30,1,Preferred Rank 2+3,,,Riley Greene,DET,CWS,-173.0,0.651853179154366,4.0,4.28,Yordan Alvarez,HOU,MIL,-222.0,0.7155447365294825,2.0,4.42,2.288861115450711,129,0.4664301113339164,0.0675937449075472,10.0,0.6759374490754722,Watchlist,69.90948228412887,Sharpie Rank 2+3 Preferred,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo.",This is now a conviction-first parlay rule. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.,1.0,1.0,1.0,12.88861115450711
2026-05-31,1,Preferred Rank 2+3,,,Yordan Alvarez,HOU,MIL,-171.0,0.6953475942087306,2.0,4.42,Taylor Ward,BAL,TOR,-151.0,0.6408464385346792,1.0,4.54,2.634328647225127,163,0.4456110292923222,0.1738858999842397,10.0,1.7388589998423976,Medium,78.58136204888653,Sharpie Rank 2+3 Preferred,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo.",This is now a conviction-first parlay rule. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.,,,,
2026-06-01,1,Preferred Rank 2+3,HOLD until earliest leg reaches 2-hour parlay window (-20 minutes to first pitch).,-20.4,Dillon Dingler,DET,TB,-173.0,0.6790037906969871,2.0,4.5,Riley Greene,DET,TB,-151.0,0.6195804178688971,4.0,4.28,2.62309076292922,162,0.378627707137144,-0.0068251588194879,10.0,-0.0682515881948797,Watchlist,52.82142361765128,Sharpie Rank 2+3 Preferred,"Same-team parlay: higher upside if the lineup rolls, but shared pitcher/weather downside gets a haircut.","Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo. If either leg is an early game, that leg controls the ticket deadline.",This is now a conviction-first parlay rule. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.,,,,
2026-06-02,1,Locked,"LOCKED by earliest leg: 44 minutes to first pitch. For parlays, the first game controls the ticket deadline even when later legs start after it.",44.5,Wilyer Abreu,BOS,BAL,-222.0,0.7014473802165025,3.0,4.3,JJ Bleday,CIN,KC,-201.0,0.6942251699709554,2.0,4.42,2.1720675899780377,117,0.4869624267564829,0.0577153046948105,10.0,0.5771530469481057,Watchlist,68.85890034243485,Sharpie Rank 2+3 Preferred,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo. If either leg is an early game, that leg controls the ticket deadline.",This is now a conviction-first parlay rule. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.,0.0,0.0,0.0,-10.0
2026-06-03,1,Locked,"LOCKED by earliest leg: 34 minutes to first pitch. For parlays, the first game controls the ticket deadline even when later legs start after it.",34.5,Yohendrick Piñango,TOR,ATL,-159.0,0.6427806591400947,2.0,4.5,Chase DeLauter,CLE,NYY,-188.0,0.6742968107927251,3.0,4.38,2.4953833801686067,150,0.4334249484974116,0.0815614130308751,10.0,0.8156141303087516,Medium,65.49588769790633,Sharpie Rank 2+3 Preferred,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo. If either leg is an early game, that leg controls the ticket deadline.",This is now a conviction-first parlay rule. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.,1.0,0.0,0.0,-10.0
2026-06-04,1,Pass,Parlay game-time check unavailable; keep as watchlist until start times refresh.,,Casey Schmitt,SF,MIL,-212.0,0.68279,1.0,4.62,Yordan Alvarez,HOU,PIT,-277.0,0.7325759999999999,2.0,4.42,2.002997071044207,100,0.5001955670399999,0.0018902557304161,0.0,0.0,Watchlist,65.7027152658416,Full Board Fallback,Different-game legs: cleaner risk split and lower shared downside.,"Full Board Fallback: Casey Schmitt and Yordan Alvarez both clear the probability, PA, lineup-slot, and model-agreement gates. Combined price is +100 with modeled success near 50.0%.","Two-leg hit parlays compound baseball variance, so Sharpie only stakes this when the combined EV clears the hurdle. Different-game legs: cleaner risk split and lower shared downside.",1.0,1.0,1.0,0.0
2026-06-05,1,Locked,"LOCKED by earliest leg: 34 minutes to first pitch. For parlays, the first game controls the ticket deadline even when later legs start after it.",34.5,Wilyer Abreu,BOS,NYY,-202.0,0.6829379807975702,3.0,4.38,Willson Contreras,BOS,NYY,-191.0,0.6659819462489364,4.0,4.28,2.2777979368617487,128,0.409341929056996,-0.0676017985229661,10.0,-0.6760179852296611,Watchlist,48.89375518169312,Sharpie Rank 2+3 Preferred,"Same-team parlay: higher upside if the lineup rolls, but shared pitcher/weather downside gets a haircut.","Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo. If either leg is an early game, that leg controls the ticket deadline.","This is now a conviction-first parlay rule, but no stake is committed until the earliest leg reaches the one-hour parlay lock window. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.",1.0,1.0,1.0,12.777979368617489
2026-06-06,1,Locked,"LOCKED by earliest leg: 39 minutes to first pitch. For parlays, the first game controls the ticket deadline even when later legs start after it.",39.4,Yordan Alvarez,HOU,ATH,-259.0,0.7327208318499644,2.0,4.42,Andrés Chaparro,WSH,AZ,-148.0,0.6564238541453294,3.0,4.38,2.32265470103308,132,0.4809754324555255,0.1171398492742448,10.0,1.171398492742448,Medium,77.88226519931126,Sharpie Rank 2+3 Preferred,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo. If either leg is an early game, that leg controls the ticket deadline.","This is now a conviction-first parlay rule, but no stake is committed until the earliest leg reaches the one-hour parlay lock window. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.",1.0,0.0,0.0,-10.0
2026-06-07,1,Locked,"LOCKED by earliest leg: 34 minutes to first pitch. For parlays, the first game controls the ticket deadline even when later legs start after it.",34.5,Miguel Vargas,CWS,PHI,-214.0,0.6913088360143416,2.0,4.5,Taylor Ward,BAL,TOR,-166.0,0.6483035398786714,1.0,4.62,2.351199189280486,135,0.4481779655375016,0.0537556692251514,10.0,0.537556692251514,Watchlist,63.748024510140255,Sharpie Rank 2+3 Preferred,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo. If either leg is an early game, that leg controls the ticket deadline.","This is now a conviction-first parlay rule, but no stake is committed until the earliest leg reaches the one-hour parlay lock window. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.",1.0,1.0,1.0,13.51199189280486
2026-06-08,1,Preferred Rank 2+3,HOLD until earliest leg reaches 60-minute parlay window (-174 minutes to first pitch).,-173.5,Kyle Schwarber,PHI,TOR,-201.0,0.6805179920669041,1.0,4.62,James Wood,WSH,SF,-203.0,0.7039461181920533,1.0,4.62,2.2352032938754505,124,0.4790479988753477,0.0707696650106203,0.0,0.0,Watchlist,69.61032642233637,Sharpie Rank 2+3 Preferred,Different-game legs: cleaner risk split and lower shared downside.,"Sharpie is currently prioritizing the Rank 2+3 two-leg parlay because the fixed-rank backtest has outperformed Rank 1+2, Rank 1+3, and betting every combo. If either leg is an early game, that leg controls the ticket deadline.","This is now a conviction-first parlay rule, but no stake is committed until the earliest leg reaches the one-hour parlay lock window. Sharpie will keep tracking all pair combos daily and should stop favoring Rank 2+3 if its rolling hit rate or ROI loses the lead.",1.0,1.0,1.0,0.0
